n,D,H,WSG,AGB
352,17.8,9.2,0.36,73.96
353,15.9,13.2,0.58,126.48
354,9.2,6,0.73,29.6
355,15,9.2,0.72,89.09
356,29,11,0.78,581.25
357,16.9,10.5,0.66,172.32
358,29.6,12,0.56,522.37
359,18.5,8.5,0.55,168.71
360,9.6,8.5,0.62,31.48
361,15.9,10.5,0.58,84.32
362,16.6,8.4,0.68,110.77
363,19.1,10.5,0.61,125.97
364,29,6.5,0.56,208.65
365,6.8,6.7,0.52,9.42
366,10.2,7.7,0.57,30.37
367,5.1,3.5,0.2,1.26
368,5.7,5.1,0.73,11.56
369,12.3,8.2,0.79,99.45
370,6.7,3.9,0.23,2.67
371,7.5,5.6,0.71,15.92
372,6.4,3.4,0.46,12.62
373,7.1,4.2,0.31,9.52
374,13.8,7,0.29,24.91
375,7,3.8,0.18,2.28
376,14,5.3,0.23,13.45
377,19.1,5.4,0.25,24.44
378,24.8,4.4,0.22,30.22
379,9.1,3.4,0.1,1.23
380,17.5,5.2,0.1,3.51
381,8.4,6.7,0.86,34.88
382,14,19,0.45,118.16
383,19,21,0.48,224.45
384,28,25,0.52,654.97
385,14,20,0.56,153.39
386,15,14,0.58,127.67
387,16,14,0.57,164.17
388,24,11,0.66,286.02
389,10,11,0.64,45.3
390,14,14,0.68,77.93
391,16,18,0.69,165.14
392,19,15,0.65,213.22
393,27,21,0.67,436.57
394,33,25,0.64,898.39
395,9,11,0.66,40.89
396,11,12,0.65,66.18
397,27,17,0.64,274.63
398,6.5,6.5,0.53,11.37
399,28,17,0.54,281.91
400,17.5,13,0.27,105.86
401,25,18,0.26,188.46
402,30,10.5,0.26,141.27
403,16.5,12.5,0.54,85.99
404,35,16.5,0.45,305.61
405,7,8.5,0.36,8.53
406,8,7,0.47,14.04
407,27,15.5,0.77,330.88
408,6,10,0.41,7.36
409,8,10.5,0.39,13.2
410,27,18,0.44,264.49
411,28,17,0.53,318.58
412,7,11.5,0.55,22.98
413,30,20,0.69,538.71
414,36,21,0.64,1062.26
415,7.5,7,0.57,17.88
416,13.8,21.4,0.58,136.47
417,10.7,13.5,0.48,34.63
418,77.9,50,0.6,9836.28
419,13.6,18,0.61,116.78
420,37.2,34.4,0.57,1265.64
421,21.7,22.7,0.56,316.45
422,12.9,16.3,0.63,81.91
423,66.7,42,0.57,6297.34
424,5.1,5.8,0.56,8.31
425,5.8,9.9,0.58,10.74
426,6.2,12.2,0.62,11.96
427,6.2,8.7,0.72,14.7
428,6.3,9.2,0.63,13.69
429,6.7,9.5,0.59,12.43
430,7.3,10.6,0.46,9.96
431,8.2,10.7,0.4,15.87
432,8.4,12.4,0.68,36.02
433,10,12.8,0.41,28.39
434,10.9,11.1,0.64,33.77
435,12,19.3,0.69,100.67
436,20.1,24,0.64,269.98
437,29,25.9,0.6,577
438,37.5,31,0.75,1543.03
439,39.6,28,0.65,1563.88
440,55.6,42.5,0.65,4363.15
441,89,48,0.6,14062.9
442,46.1,32.5,0.58,1608.99
443,6.3,12.2,0.67,18.22
444,66.7,40.4,0.74,6172
445,26.1,25.8,0.59,726.18
446,13.8,16.2,0.43,59.75
447,6.8,7.8,0.78,14.9
448,5.3,8,0.61,7.89
449,6,10.9,0.61,11
450,6.7,10.5,0.61,9.73
451,8.1,11.2,0.61,22.13
452,9,9.6,0.78,24.4
453,9,12.6,0.61,30.3
454,15.8,15,0.61,77.1
455,18,16,0.61,126.6
456,19.5,16.3,0.61,183.3
457,21.9,13.8,0.61,199.7
458,7.4,8.7,0.93,22.9
459,9.6,10.3,0.93,39.6
460,12.2,14.5,0.93,82.6
461,12.4,14.1,0.93,124.5
462,20.1,13.8,0.93,276.4
463,14.4,14.8,0.58,144.5
464,12.3,13.2,0.66,76.1
465,23.5,23.6,0.73,530.6
466,24.8,16.6,0.59,358.1
467,14.1,15,0.56,142.3
468,22.5,12.2,0.66,236.16
469,30.7,10,0.65,385.3
470,46,16,0.63,1245.5
471,6,4.7,0.6,4.9
472,18.5,5,0.62,102.66
473,16.6,20,0.43,113.8
474,48.4,28,0.56,1047.3
475,28.6,26.8,0.46,430
476,64.9,37.8,0.53,1692.7
477,17.5,13,0.37,77.4
478,33.1,28.9,0.65,1158
479,11.8,15.8,0.43,63.5
480,27.7,24,0.43,374.9
481,15.1,18,0.6,145.27
482,32,25.1,0.36,365.48
483,41.1,18.5,0.26,484.87
484,47.5,34,0.61,2032.59
485,62.8,27.2,0.59,3669.27
486,75.5,36,0.7,8947.61
487,76,33.9,0.58,5215.23
488,80.8,35.2,0.89,12610.39
489,81,42.3,0.78,10484.1
490,93.8,41.5,0.71,14255.43
491,21.6,19.9,0.71,224.66
492,20.8,12,0.59,177.38
493,6.1,8.4,0.71,14.92
494,10.3,8.5,0.9,48.78
495,11.7,15.8,0.58,63.6
496,5.8,8.3,0.46,6.1
497,22.5,13.4,0.77,321.6
498,23.2,12.2,0.77,444.5
499,45,15.3,0.77,1104.5
500,11.1,5.9,0.31,20.2
501,7.7,4.6,0.73,15.1
502,35.8,14.1,0.59,550.95
503,8.4,7.7,0.61,17.58
504,16.6,14.3,0.66,56.13
505,18.1,12.8,0.66,81.84
506,19.1,12.6,0.89,120.03
507,12.1,7.2,0.81,53.86
508,14.3,9,0.81,76.61
509,14.7,9.2,0.81,115.09
510,22.3,12.3,0.42,118.15
511,22.9,10.2,0.42,86.15
512,9.5,6.2,0.39,12.11
513,13.1,9.7,0.39,33.57
514,15.3,8.4,0.39,41.56
515,17.2,9.9,0.39,59.15
516,8.4,7,1.05,24.23
517,21,25,0.74,194.69
518,8.3,10,0.56,14.33
519,9,9.8,0.32,16.8
520,10.3,12,0.62,42.63
521,5.4,3.6,0.9,1.87
522,79.3,13.3,0.87,4538.06
523,5,3.5,0.84,2.98
524,5,2.9,0.84,1.4
525,5.3,2.9,0.84,3.31
